idx,task,arm,pair,order_in_pair,t_start_utc,t_task_utc,t_end_utc,log,wire_lines,end_col,rc,errors,note
60,D2,A,1,first,2026-09-10 20:45:15,2026-09-10 20:45:16,2026-09-10 20:45:29,C:\Users\LM\.keel\sessions\5f4d470a33fbdf3c\16b8c526518c7152.jsonl,8,completion,0,,
61,D2,B,1,second,2026-09-10 20:45:29,2026-09-10 20:45:30,2026-09-10 20:45:36,C:\Users\LM\.keel\sessions\36d1ec6549b92720\c6bc1de44f0c0ef8.jsonl,4,completion,0,,
62,D2,B,2,first,2026-09-10 20:45:36,2026-09-10 20:45:38,2026-09-10 20:45:44,C:\Users\LM\.keel\sessions\eb1db3027a10f72d\3161693771da2b62.jsonl,4,completion,0,,
63,D2,A,2,second,2026-09-10 20:45:44,2026-09-10 20:45:46,2026-09-10 20:45:57,C:\Users\LM\.keel\sessions\d0f369582fa0199e\20c3629f7d21d137.jsonl,6,completion,0,,
64,D2,A,3,first,2026-09-10 20:45:58,2026-09-10 20:45:59,2026-09-10 20:46:08,C:\Users\LM\.keel\sessions\9832ee8ab082c611\8970d06dc5b5e1ea.jsonl,10,completion,0,,
65,D2,B,3,second,2026-09-10 20:46:08,2026-09-10 20:46:10,2026-09-10 20:46:24,C:\Users\LM\.keel\sessions\a2459810eb12ac5c\63c4ce156928e9b6.jsonl,10,completion,0,,
66,D2,B,4,first,2026-09-10 20:46:25,2026-09-10 20:46:26,2026-09-10 20:46:35,C:\Users\LM\.keel\sessions\eea2d2f4e611a55c\6033b73982e363f9.jsonl,8,completion,0,,
67,D2,A,4,second,2026-09-10 20:46:35,2026-09-10 20:46:36,2026-09-10 20:46:49,C:\Users\LM\.keel\sessions\c82c1ce05a6274f6\49848057fc469dd1.jsonl,6,completion,0,,
68,D2,A,5,first,2026-09-10 20:46:49,2026-09-10 20:46:50,2026-09-10 20:47:03,C:\Users\LM\.keel\sessions\529da626fbac047b\cebc53802c633872.jsonl,12,completion,0,,
69,D2,B,5,second,2026-09-10 20:47:03,2026-09-10 20:47:05,2026-09-10 20:47:23,C:\Users\LM\.keel\sessions\0c73c3ea972bf858\66226e271496b8fc.jsonl,6,completion,0,,
70,D2,B,6,first,2026-09-10 20:47:23,2026-09-10 20:47:24,2026-09-10 20:47:33,C:\Users\LM\.keel\sessions\7d7803d60a6cdadf\8203c58372ef1cb1.jsonl,8,completion,0,,
71,D2,A,6,second,2026-09-10 20:47:33,2026-09-10 20:47:34,2026-09-10 20:47:41,C:\Users\LM\.keel\sessions\c96a3b70a287e72a\8ad3d148a8c5d801.jsonl,4,completion,0,,
72,D2,A,7,first,2026-09-10 20:47:41,2026-09-10 20:47:43,2026-09-10 20:48:03,C:\Users\LM\.keel\sessions\1f004be5d8492ecb\4a84efe217eb4630.jsonl,6,completion,0,,
73,D2,B,7,second,2026-09-10 20:48:03,2026-09-10 20:48:05,2026-09-10 20:48:17,C:\Users\LM\.keel\sessions\877cc202a3ee4e0b\f7a499571ae2ad88.jsonl,10,completion,0,,
74,D2,B,8,first,2026-09-10 20:48:17,2026-09-10 20:48:18,2026-09-10 20:48:28,C:\Users\LM\.keel\sessions\05e76925c012d101\075e3ba035d55c5d.jsonl,6,completion,0,,
75,D2,A,8,second,2026-09-10 20:48:28,2026-09-10 20:48:30,2026-09-10 20:48:35,C:\Users\LM\.keel\sessions\7f450780357fdb11\717b3a20546e47fe.jsonl,4,completion,0,,
76,D2,A,9,first,2026-09-10 20:48:35,2026-09-10 20:48:37,2026-09-10 20:48:48,C:\Users\LM\.keel\sessions\23a6e1b9cb1b87e9\bc790ea841df4794.jsonl,8,completion,0,,
77,D2,B,9,second,2026-09-10 20:48:48,2026-09-10 20:48:50,2026-09-10 20:49:00,C:\Users\LM\.keel\sessions\2ca4a1e247166769\295e00d2374b3d68.jsonl,8,completion,0,,
78,D2,B,10,first,2026-09-10 20:49:00,2026-09-10 20:49:01,2026-09-10 20:49:13,C:\Users\LM\.keel\sessions\ce613611f89aeaf9\f74843172704cbe5.jsonl,6,completion,0,,
79,D2,A,10,second,2026-09-10 20:49:13,2026-09-10 20:49:14,2026-09-10 20:49:33,C:\Users\LM\.keel\sessions\5d5df553bac7d11a\879dc7ab8c1599ea.jsonl,10,completion,0,,
